,price,propertyType,size,exterior,rooms,bathrooms,distance,status,floor,hasLift
304,750.0,flat,87.0,True,2,1,13773,good,5,True
305,735.0,flat,51.0,True,1,1,14023,good,4,True
306,700.0,flat,80.0,True,3,1,17777,good,5,True
307,725.0,flat,75.0,True,3,1,16247,good,Desconocido,False
308,733.0,flat,68.4,True,2,1,28541,good,2,True
309,750.0,flat,36.0,True,1,1,4237,good,bj,True
310,675.0,flat,69.0,True,2,1,5656,good,bj,False
311,650.0,flat,85.0,True,2,1,43066,good,2,False
312,730.0,flat,52.0,True,1,1,5879,good,bj,True
313,700.0,flat,97.0,True,1,1,24605,good,bj,True
314,690.0,studio,38.0,False,0,1,5798,good,2,True
315,700.0,flat,70.0,True,2,1,43166,good,1,False
316,600.0,duplex,89.0,True,2,2,44474,good,2,False
317,700.0,studio,25.0,False,0,1,691,good,bj,False
318,690.0,flat,60.0,True,2,1,29005,good,bj,False
319,750.0,duplex,114.0,True,3,3,28099,good,1,False
320,700.0,studio,51.0,True,0,1,8471,good,bj,False
321,670.0,flat,61.0,True,1,1,35136,good,bj,True
322,750.0,flat,80.0,True,2,1,25085,good,4,True
323,740.0,studio,33.0,True,0,1,8322,good,bj,True
324,750.0,flat,110.0,True,4,2,27976,good,1,False
325,750.0,flat,62.0,True,2,1,5703,good,3,False
326,750.0,studio,70.0,True,0,1,16273,good,bj,True
327,650.0,studio,28.0,True,0,1,5399,good,bj,False
328,625.0,flat,51.0,True,1,1,25010,good,2,True
329,700.0,flat,35.0,True,1,1,2266,good,bj,True
330,750.0,flat,95.0,True,2,2,30759,good,1,False
331,600.0,studio,25.0,False,0,1,3812,good,bj,False
332,750.0,flat,89.0,True,2,2,12878,good,2,True
333,700.0,flat,55.0,True,1,1,32004,good,1,True
334,750.0,flat,90.0,True,3,2,28736,good,2,True
335,750.0,flat,48.0,True,2,1,6832,good,2,True
336,625.0,flat,57.0,True,2,1,43647,good,bj,False
337,750.0,flat,46.0,True,1,1,16127,good,1,False
338,695.0,flat,59.0,True,1,1,8595,good,4,True
339,450.0,flat,40.0,True,1,1,46273,good,1,False
340,720.0,flat,58.0,True,2,1,13451,good,bj,False
341,745.0,flat,73.0,True,2,1,28800,good,2,True
342,720.0,flat,69.6,True,2,1,28624,good,2,True
343,750.0,flat,55.0,True,2,1,7462,good,1,False
344,720.0,studio,48.0,True,0,1,5808,good,1,True
345,725.0,studio,44.0,False,0,1,1140,good,8,True
346,750.0,flat,80.0,False,2,1,8011,good,5,True
347,550.0,flat,86.0,True,2,1,47448,good,1,True
348,640.0,flat,69.0,True,2,1,29311,good,2,True
349,700.0,flat,54.0,True,1,1,11656,good,1,True
350,700.0,flat,59.0,True,1,1,7529,good,6,True
351,700.0,flat,75.0,True,2,1,30359,good,1,False
352,695.0,flat,62.0,False,2,1,15162,good,3,False
